resturaunt,Title_link,top_review,description_1,num_reviews,lemon--li__373c0__1r9wz5,street_address,phone,food_type,description_2,extras,price,Headline,Mon_hrs,Tues_hrs,Wed_hrs,Thu_hrs,Fri_hrs,Sat_hrs,Sun_hrs,Field1,Field1_link,Headline1,full_address,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
Barcelona Wine Bar,https://www.yelp.com/biz/barcelona-wine-bar-brookline-3,"“Great spot for tapas, so many delicious dishes on the menu! Four small plates was plenty of food for two, and we didn't even scratch the surface of all the…” read more","Tapas/Small Plates,",1290 reviews,https://www.yelp.com/biz/barcelona-wine-bar-brookline-3?hrid=8L8MeFPxGxWmttLJg9KPGg,1700 Beacon St,(617) 264-8900,Wine Bars,"Spanish,",Offers delivery,$$$,Barcelona Wine Bar,4:00 pm - 1:00 am,4:00 pm - 1:00 am,4:00 pm - 1:00 am,4:00 pm - 1:00 am,4:00 pm - 2:00 am,11:00 am - 2:00 am,11:00 am - 1:00 am,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.338827%2C-71.138816&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.338827%2C-71.138816&client=gme-yelp&sensor=false&size=315x150&signature=Proo7kWJqCDGqKfsPg_U7VK7ngY=,https://www.yelp.com/map/barcelona-wine-bar-brookline-3,Barcelona Wine Bar,"1700 Beacon St, Brookline, MA 02446",42.338852,-71.138865,0.9,rooftop,1700,Beacon St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Chiharu,https://www.yelp.com/biz/chiharu-brookline,“Awesome place! Really delicious and delicate food. I like the beef noodle and Tantan ramen! Went there almost every week when I live close. Recommend to…” read more,"Sushi Bars,",138 reviews,https://www.yelp.com/biz/chiharu-brookline?hrid=xY3lqDYgXG0Gz32QwDMY7Q,370 Boylston St,(617) 487-8684,Noodles,"Ramen,",Offers delivery,$$,Chiharu,11:30 am - 9:30 pm,Closed,11:30 am - 9:30 pm,11:30 am - 9:30 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 9:30 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.329737%2C-71.126669&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.329737%2C-71.126669&client=gme-yelp&sensor=false&size=315x150&signature=cLBiEm9KIBAsSC3hYXsiimhrGPo=,https://www.yelp.com/map/chiharu-brookline,Chiharu,"370 Boylston St, Brookline, MA 02445",42.329751,-71.126666,1,rooftop,370,Boylston St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Sushi Momento,https://www.yelp.com/biz/sushi-momento-brookline-3,"“I ordered the 10-piece nigiri 'omakase,' ($29) on the menu. Even though it's called omakase, it's technically not the traditional one where you are served the…” read more","Sushi Bars,",79 reviews,https://www.yelp.com/biz/sushi-momento-brookline-3?hrid=qOAc4hNdnDB94eiM06LwCA,399 Chestnut Hill Ave,(617) 505-3460,Japanese,"Cocktail Bars,",Offers takeout and delivery,$$,Sushi Momento,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 11:00 pm,11:30 am - 11:00 pm,11:30 am - 11:00 pm,12:00 pm - 10:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.334976%2C-71.150071&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.334976%2C-71.150071&client=gme-yelp&sensor=false&size=315x150&signature=Rh_3lXh8A5vlHLOBx4La1_P1BIE=,https://www.yelp.com/map/sushi-momento-brookline-3,Sushi Momento,"399 Chestnut Hill Ave, Brookline, MA 02445",42.33493,-71.150303,1,rooftop,399,Chestnut Hill Ave,Brookline,MA,Norfolk County,2445,US,City of Brookline
Bess’s Cafe,https://www.yelp.com/biz/besss-cafe-brookline,"“Fantastic neighborhood spot. Everything is fantastic. The only critique is that some items are overly salty, the scallion pancake being an example -- overall…” read more","Noodles,",135 reviews,https://www.yelp.com/biz/besss-cafe-brookline?hrid=QXWQ9gaLv02A-u3OI98SCA,224 Cypress St,(617) 879-0993,Soup,"Chinese,",Offers delivery,$$,Bess's Cafe,Closed,11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 7:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.327518%2C-71.124480&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.327518%2C-71.124480&client=gme-yelp&sensor=false&size=315x150&signature=9px3XXkYzfpbD4FGf9XFT4oVCGc=,https://www.yelp.com/map/besss-cafe-brookline,Bess’s Cafe,"224 Cypress St, Brookline, MA 02445",42.327541,-71.124466,1,rooftop,224,Cypress St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Stoked Wood Fired Pizza,https://www.yelp.com/biz/stoked-wood-fired-pizza-brookline,"“Oh my god. The impossible cheeseburger pizza is the best vegan pizza I've ever had no doubt. The pickles, the crumbles, the cheese, the aioli. Amazing. It's a…” read more","Pizza,",277 reviews,https://www.yelp.com/biz/stoked-wood-fired-pizza-brookline?hrid=RN-DGQyBdt9fgAk0yn_e1Q,1632 Beacon St,(617) 879-0707,Salad,"Diners,",,$$,Stoked Wood Fired Pizza,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:30 pm,11:00 am - 9:30 pm,11:00 am - 10:30 pm,11:00 am - 10:30 pm,12:00 pm - 9:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.339733%2C-71.135733&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.339733%2C-71.135733&client=gme-yelp&sensor=false&size=315x150&signature=Ujsr4LrInhBMi6VdHdvF0jWaJmg=,https://www.yelp.com/map/stoked-wood-fired-pizza-brookline,Stoked Wood Fired Pizza,"1632 Beacon St, Brookline, MA 02446",42.339686,-71.135468,1,rooftop,1632,Beacon St,Brookline,MA,Norfolk County,2446,US,City of Brookline
The Abbey,https://www.yelp.com/biz/the-abbey-brookline,"“I just had a totally satisfying dinner at The Abbey. I started with the pork belly, which was draped in a delicious sweet and sour sauce. Crunchy, unctuous,…” read more",American (New),460 reviews,https://www.yelp.com/biz/the-abbey-brookline?hrid=dhyk0vUK-E4lSbuvtBRBkg,1657 Beacon St,(617) 730-8040,,,,$$,The Abbey,11:00 am - 2:00 am,11:00 am - 2:00 am,11:00 am - 2:00 am,11:00 am - 2:00 am,11:00 am - 2:00 am,11:00 am - 2:00 am,11:00 am - 2:00 am,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.338692%2C-71.136698&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.338692%2C-71.136698&client=gme-yelp&sensor=false&size=315x150&signature=D3QjA0YgcI1OFsBLaI_gkfnbYqY=,https://www.yelp.com/map/the-abbey-brookline,The Abbey,"1657 Beacon St, Brookline, MA 02445",42.338669,-71.136696,1,rooftop,1657,Beacon St,Brookline,MA,Norfolk County,2445,US,City of Brookline
The Publick House,https://www.yelp.com/biz/the-publick-house-brookline,"“good stuff... fast service.
french fries a little overdone.
overall decent food, comfortable atmosphere” read more","Pubs,",1170 reviews,https://www.yelp.com/biz/the-publick-house-brookline?hrid=YSq3H9tScOXtVnz1i7OcmA,1648 Beacon St,(617) 277-2880,Belgian,"American (Traditional),",,$$,The Publick House,5:00 pm - 2:00 am,5:00 pm - 2:00 am,5:00 pm - 2:00 am,5:00 pm - 2:00 am,5:00 pm - 2:00 am,12:00 pm - 2:00 am,12:00 pm - 2:00 am,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.339413%2C-71.136704&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.339413%2C-71.136704&client=gme-yelp&sensor=false&size=315x150&signature=508GVxL6kr2XqNPyR__MRZYuZUI=,https://www.yelp.com/map/the-publick-house-brookline,The Publick House,"1648 Beacon St, Brookline, MA 02445",42.339363,-71.136601,1,rooftop,1648,Beacon St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Eagle’s Deli,https://www.yelp.com/biz/eagles-deli-brighton,"“Not bad. Great college place. I like the atmosphere. It's family friendly. 

The chipotle chicken panini is honestly great. The fries are just okay hence the…” read more","Delis,",410 reviews,https://www.yelp.com/biz/eagles-deli-brighton?hrid=JzfWgMwgWGEdhljkZpoc3A,1918 Beacon St,(617) 731-3232,Sandwiches,"Burgers,",Offers takeout and delivery,$,Eagle's Deli,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 9:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.336567%2C-71.149145&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.336567%2C-71.149145&client=gme-yelp&sensor=false&size=315x150&signature=Q0quZ6L1BL3lpihe8ovtZ-cbAFo=,https://www.yelp.com/map/eagles-deli-brighton,Eagle’s Deli,"1918 Beacon St, Brighton, MA 02135",42.33653,-71.14929,1,rooftop,1918,Beacon St,Brighton,MA,Suffolk County,2135,US,City of Boston
Cafe Landwer,https://www.yelp.com/biz/cafe-landwer-brighton,“This is my favorite brunch spot in the Boston area. I am a sucker for Israeli food and they do it so well. Have been once on a Saturday at noon and had no wait…” read more,"Diners,",91 reviews,https://www.yelp.com/biz/cafe-landwer-brighton?hrid=7R5fj7ahk_Fsqd3he7dXIQ,383 Chestnut Hill Ave,(617) 383-5786,Breakfast & Brunch,"Mediterranean,",,$$,Cafe Landwer,8:00 am - 9:30 pm,8:00 am - 9:30 pm,8:00 am - 9:30 pm,8:00 am - 9:30 pm,8:00 am - 9:30 pm,8:00 am - 9:30 pm,8:00 am - 9:30 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.335753%2C-71.150561&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.335753%2C-71.150561&client=gme-yelp&sensor=false&size=315x150&signature=d6e1iP25xK2EpROcSJqZxz5sdnk=,https://www.yelp.com/map/cafe-landwer-brighton,Cafe Landwer,"383 Chestnut Hill Ave, Brighton, MA 02135",42.33527,-71.150565,1,rooftop,383,Chestnut Hill Ave,Brighton,MA,Suffolk County,2135,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
Pino’s Pizza,https://www.yelp.com/biz/pinos-pizza-brighton,"“Wait. I am disappointed and shocked that I have yet to review Pino's Pizza. As someone who grew up in the area, Pino's is a staple. Seriously, I feel like it…” read more",Pizza,431 reviews,https://www.yelp.com/biz/pinos-pizza-brighton?hrid=z-Ob3fe-Ek4F9M3hfUyOFw,1920 Beacon St,(617) 566-6468,,,Offers takeout and delivery,$,Pino's Pizza,10:00 am - 1:00 am,10:00 am - 1:00 am,10:00 am - 1:00 am,10:00 am - 1:00 am,10:00 am - 1:00 am,10:00 am - 1:00 am,10:00 am - 1:00 am,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.336562%2C-71.149331&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.336562%2C-71.149331&client=gme-yelp&sensor=false&size=315x150&signature=6uG5cX1vGewYg28fJ8NOptcx9-I=,https://www.yelp.com/map/pinos-pizza-brighton,Pino’s Pizza,"1920 Beacon St, Brighton, MA 02135",42.336497,-71.149281,1,rooftop,1920,Beacon St,Brighton,MA,Suffolk County,2135,US,City of Boston
Rifrullo,https://www.yelp.com/biz/rifrullo-brookline,“What a sweet little neighborhood spot! The menu is small and somewhat limited but what they make is ABSOLUTELY INCREDIBLE. They also have gray coffee and…” read more,Cafes,107 reviews,https://www.yelp.com/biz/rifrullo-brookline?hrid=-3Ek10XuwCdYoKV15N2KIg,147 Cypress St,(617) 505-6727,,,Offers delivery,$$,Rifrullo,7:00 am - 2:30 pm,7:00 am - 2:30 pm,7:00 am - 2:30 pm,7:00 am - 2:30 pm,7:00 am - 2:30 pm,8:00 am - 3:00 pm,8:00 am - 2:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.329651%2C-71.126227&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.329651%2C-71.126227&client=gme-yelp&sensor=false&size=315x150&signature=QFqkmFGkKNmD5wMwr4Zb1Lq-7Zo=,https://www.yelp.com/map/rifrullo-brookline,Rifrullo,"147 Cypress St, Brookline, MA 02445",42.329625,-71.126282,1,rooftop,147,Cypress St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Toichi Ichiban Japanese Cuisine,https://www.yelp.com/biz/toichi-ichiban-japanese-cuisine-brookline-2,"“You could almost miss the unpretentious restaurant located on a side street in Brookline, That would be your loss. Toichi Ichiban is a charming, neighborhood…” read more","Japanese,",73 reviews,https://www.yelp.com/biz/toichi-ichiban-japanese-cuisine-brookline-2?hrid=YaYkwsBgnExFmuap2zVjxA,5 Kendall St,(617) 277-0088,Asian Fusion,"Sushi Bars,",,$$,Toichi Ichiban Japanese Cuisine,Closed,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,12:00 pm - 10:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.327044%2C-71.124427&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.327044%2C-71.124427&client=gme-yelp&sensor=false&size=315x150&signature=MytTDcb_gx1gI-CzSIXAqu2KIE4=,https://www.yelp.com/map/toichi-ichiban-japanese-cuisine-brookline-2,Toichi Ichiban Japanese Cuisine,"5 Kendall St, Brookline, MA 02445",42.327066,-71.124513,1,rooftop,5,Kendall St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Cutty’s,https://www.yelp.com/biz/cuttys-brookline,"“It amazes me that anyone would give Cutty's a less than 5 star review. I just want to ask are they okay???

When I first heard of Cutty's I kept hearing rave…” read more","Coffee & Tea,",413 reviews,https://www.yelp.com/biz/cuttys-brookline?hrid=5c21AA_A1EEc5b22ADD-8g,284 Washington St,(617) 505-1844,Breakfast & Brunch,"Sandwiches,",,$,Cutty's,8:00 am - 3:00 pm,8:00 am - 3:00 pm,8:00 am - 3:00 pm,8:00 am - 3:00 pm,8:00 am - 3:00 pm,8:00 am - 3:00 pm,Closed,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.333103%2C-71.119393&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.333103%2C-71.119393&client=gme-yelp&sensor=false&size=315x150&signature=9bxqwmbb2TkkNHKugLusKuHF7oY=,https://www.yelp.com/map/cuttys-brookline,Cutty’s,"284 Washington St, Brookline, MA 02445",42.333109,-71.119431,1,rooftop,284,Washington St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Fin’s Sushi and Grill,https://www.yelp.com/biz/fins-sushi-and-grill-brighton,"“Thank got a grub hub order. We had the spicy combo, about/cucumber, spicy eel and chicken wings. Don't judge, I was hungry & hangry!  The food was good, tasted…” read more","Sushi Bars,",285 reviews,https://www.yelp.com/biz/fins-sushi-and-grill-brighton?hrid=G3ADkOrHlbO8Z03QZwnPrg,354 Chestnut Hill Ave,(617) 731-0018,,Japanese,Offers takeout and delivery,$$,Fin's Sushi and Grill,11:30 am - 10:15 pm,11:30 am - 10:15 pm,11:30 am - 10:15 pm,11:30 am - 10:15 pm,11:30 am - 11:15 pm,11:30 am - 11:15 pm,12:00 pm - 10:15 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.336845%2C-71.151634&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.336845%2C-71.151634&client=gme-yelp&sensor=false&size=315x150&signature=9vqmMMw8sLwEn1irFovSjfAYdOw=,https://www.yelp.com/map/fins-sushi-and-grill-brighton,Fin’s Sushi and Grill,"354 Chestnut Hill Ave, Brighton, MA 02135",42.33691,-71.15157,1,rooftop,354,Chestnut Hill Ave,Brighton,MA,Suffolk County,2135,US,City of Boston
Burro Bar Brookline,https://www.yelp.com/biz/burro-bar-brookline-brookline,“Grabbed some take out from here for the first time recently. I grabbed an order of their nachos and the pork enchiladas. Overall this place is on the pricey…” read more,"Mexican,",199 reviews,https://www.yelp.com/biz/burro-bar-brookline-brookline?hrid=YkasgIrgwvymWstJhWQtTw,1665 Beacon St,(617) 277-0427,,Bars,,$$,Burro Bar Brookline,5:00 pm - 11:00 pm,5:00 pm - 11:00 pm,5:00 pm - 12:00 am,5:00 pm - 12:00 am,5:00 pm - 1:00 am,10:00 am - 1:00 am,10:00 am - 11:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.338523%2C-71.137319&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.338523%2C-71.137319&client=gme-yelp&sensor=false&size=315x150&signature=-WhyiV7Xm5YL3iUwreeGPZM2HNU=,https://www.yelp.com/map/burro-bar-brookline-brookline,Burro Bar Brookline,"1665 Beacon St, Brookline, MA 02445",42.33851,-71.13728,1,rooftop,1665,Beacon St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Super Fusion Cuisine,https://www.yelp.com/biz/super-fusion-cuisine-brookline,"“Unparalleled quality of food and service. Family run and always kind, attentive, reliable. I see them about once a week as I live in the Washington Sq. area. I…” read more","Sushi Bars,",288 reviews,https://www.yelp.com/biz/super-fusion-cuisine-brookline?hrid=QC73NM_nDjBsDccUFNRWTA,690 A Washington St,(617) 277-8221,Asian Fusion,"Japanese,",,$$,Super Fusion Cuisine,Closed,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 11:00 pm,11:30 am - 11:00 pm,12:00 pm - 10:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.338595%2C-71.134315&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.338595%2C-71.134315&client=gme-yelp&sensor=false&size=315x150&signature=HkJ_8AmBIia0jplAYD2r7q2dMyQ=,https://www.yelp.com/map/super-fusion-cuisine-brookline,Super Fusion Cuisine,"690 A Washington St, Brookline, MA 02446",42.338691,-71.134512,1,rooftop,690,Washington St,Brookline,MA,Norfolk County,2446,US,City of Brookline
Livite,https://www.yelp.com/biz/livite-brookline,"“Their buffalo chicken wraps are probably the best I've ever had, and I'm pretty choosy with my buff chix. It was also quite reasonably priced, so the fact it…” read more","Juice Bars & Smoothies,",97 reviews,https://www.yelp.com/biz/livite-brookline?hrid=exv5VPXy6kkn2zNbgeXInA,1644 Beacon St,(617) 396-8383,Wraps,"Salad,",Offers delivery,$,Livite,8:30 am - 7:00 pm,8:30 am - 7:00 pm,8:30 am - 7:00 pm,8:30 am - 7:00 pm,8:30 am - 7:00 pm,10:00 am - 6:00 pm,10:00 am - 4:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.339431%2C-71.136425&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.339431%2C-71.136425&client=gme-yelp&sensor=false&size=315x150&signature=O9Ew-y2mepOqjqt_sIAPtEmLmOs=,https://www.yelp.com/map/livite-brookline,Livite,"1644 Beacon St, Brookline, MA 02445",42.339418,-71.136394,1,rooftop,1644,Beacon St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Chestnut Hill Restaurant,https://www.yelp.com/biz/chestnut-hill-restaurant-chestnut-hill,"“Best breakfast spot in Newton. Very kind staff who memorize your name - Lin is the best. The prices are very reasonable also, especially for the quality of the…” read more","Breakfast & Brunch,",70 reviews,https://www.yelp.com/biz/chestnut-hill-restaurant-chestnut-hill?hrid=js4yWRFt_30fZcr2qlVl1A,616 Hammond St,(617) 738-8654,,Sandwiches,,$,Chestnut Hill Restaurant,6:00 am - 3:00 pm,6:00 am - 3:00 pm,6:00 am - 3:00 pm,6:00 am - 3:00 pm,6:00 am - 3:00 pm,7:00 am - 2:00 pm,8:00 am - 2:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.323102%2C-71.163256&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.323102%2C-71.163256&client=gme-yelp&sensor=false&size=315x150&signature=2uQlienENEiPdy3Tl9WoRks8xuA=,https://www.yelp.com/map/chestnut-hill-restaurant-chestnut-hill,Chestnut Hill Restaurant,"616 Hammond St, Chestnut Hill, MA 02467",42.323119,-71.163259,1,rooftop,616,Hammond St,Chestnut Hill,MA,Norfolk County,2467,US,City of Brookline
Bottega di Capri,https://www.yelp.com/biz/bottega-di-capri-brookline,“One of my favorite Italian places in boston (including the north end!). This hidden Brookline gem is small but cozy and adorable. The pasta dishes are…” read more,"Italian,",308 reviews,https://www.yelp.com/biz/bottega-di-capri-brookline?hrid=eLId8zBtto4S_qtyGcbZ7Q,41 Harvard St,(617) 738-5333,Seafood,"Comfort Food,",,$$,Bottega di Capri,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 11:30 pm,11:00 am - 6:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.334665%2C-71.118973&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.334665%2C-71.118973&client=gme-yelp&sensor=false&size=315x150&signature=WfME_OOmwCnmfT7Drhj46hIO-wo=,https://www.yelp.com/map/bottega-di-capri-brookline,Bottega di Capri,"41 Harvard St, Brookline, MA 02445",42.334655,-71.118979,1,rooftop,41,Harvard St,Brookline,MA,Norfolk County,2445,US,City of Brookline
